What,Prerequisites,
Nonlinear Computational Mechanics,"It is mandatory to have a basic knowledge of linear algebra and calculus, and a basic knowledge in continuum mechanics (stress, strain, linear elasticity)Course is easier for students who have already attended a basic Finite Element course, and who have already manipulated a FE code (not required).Being curious about mechanical problems, having a good knowledge of plasticity theory would be a must, but is not really needed.A good practice of English speaking and reading is mandatory.The course will have a website, that will be updated one week before the course:http://mms2.ensmp.fr/msi_paris/accueil_msi_paris.phpStudents are also invited to navigate on:http://mms2.ensmp.fr/ef_paris/accueil_ef_paris.phpThis last link is a linear FE course (mostly in french). The part of the theory will be smaller in «nonlinear computational mechanics» than for this one.",
Introduction to Wind Turbine Aerodynamics,3rdyear engineering Newtonian physics and mathematics; Fluid mechanics,
Non-contact techniques for material testing,Knowledge of general physics and mathematics,
Emergence in complex systems,"Students who attend               this course will be fluent in               procedural object-oriented programming (Java, C++, Python               or equivalent). They               will get some knowledge of Python by themselves before the               Athens               week.",
Danube Bridges in Budapest,"General knowledge in Structural Mechanics, use of computer programs",
Développement durable dans le centre historique de Budapest,Connaissance élémentaire de l'architecture,
Metrology of Electrical Quantities,Basic courses of applied physics and electric circuit theory.,
Data Compression,"Sets, relations, oriented graphs, finite automata.",
From Kalman to Particle Filters,#NAME?,
Digital Signal and Image Processing with Applications,Basic knowledge of numerical mathematics.,
Environmental Biotechnology,Basic knowledge of chemistry and environmental sciences.,
Image Processing,"Basic knowledge in signal processing, applied mathematics, and probability.",
Quantum entanglement for communications: from theory to experiments,Maxwell equations,
International Management Communication,Initiation level in Economics and Management.,
Energie et environnement,"Connaissances préalables nécessaires:- Niveau 1er cycle: thermodynamique, mécanique des fluides incompressibles, Français.",
Energie et Environnement,"Connaissances préalables nécessaires:- Niveau 1er cycle: thermodynamique, mécanique des fluides incompressibles, Français.",
Quality Control,"General knowledge of mathematics and statistics.Practicing knowledge of PC's, namely Excel.",
Elab - Remotely controlled Physics laboratories,Engineering degree students with courses on programming and physics are recommended.,
Conception d'un médicament,base de la chimie et de la biochimie,
Écologie et environnement,"Aucune connaissance particulière, mais une formation ou un intérêt pour les sciences de la nature peuvent être appréciables.",
Dermatologie et Cosmétologie,"Chimie, physique, biologie, analyse",
Structural Reliability,Good knowledge of probability theory is required.The course is suitable for civil and mechanical engineering students. Students must bring a laptop with either Matlap or Octave installed (Octave is freeware).,
Isogeometric Simulation & Beyond,"basic knowledge of Linux/Windows operating      systemsbasic programming skills (C/C++/Matlab)good knowledge of spoken and written Englishadequate background (Engineering, Mathematics,      Physics,…) with strong interest in numerical simulation",
Physics of Extreme Systems,"A course of introductory / applied physics, basic knowledge of modern physics (e.g. D. Halliday et al.:Physics, Chap. 38 – 45).",
Industrial Archaeology,No prerequisits required. Hard copy hand-outs of the presentations will be provided for all participants.,
Optical Communications,"This course requires a basic familiarity with electromagnetic waves and optics, and with semiconductor or quantum physics.",
Software reliability,Basic knowledge in statistics.,
Medical Imaging,Basic Knowledge in signal or image processing is desirable,
Project Finance : Non-Recourse Finance,Students should be interested in industry as well as finance. Those who have a laptop computer are requested to bring it.,
Propulsion éolienne,"Connaissances préalables nécessaires :Notions de mécanique des fluides et du solide, excel (TD)Connaissances en architecture navaleNotions de navigation",
"Couleur, arts, industrie",Notions de base sur la lumière et les rayonnements,
Nanotechnologies,"Undergraduate knowledge in general physics (magnetism and electricity, mechanics, geometrical and physical optics, thermodynamics), and a basic culture of quantum mechanics and atomistics (wavefunctions, Schrödinger equation, Heisenberg relation, photons, electron spin…)",
Monte Carlo Methods,"− The prerequisite for the course is an undergraduate course in probability theory (random variables, expectation, law of large numbers, etc.).− Knowledge of a programming language (Matlab recommended).",
Radiation Protection and the Safety of  Radioactive Sources: Present Situation in the Light of Recent International Requirements,Basic knowledge of elementary atomic and nuclear physics,
Marchés financiers et gestion des risques,Ce cours s’adresse principalement à des étudiants n’ayant pas de connaissances préalables sur le sujet. Les élèves sont supposés connaître les opérations mathématiques élémentaires.,
Mécanique spatiale et applications,1ère année école d'ingénieur,
Activities and economy of trade ports,,
Photovoltaic solar energy,"Basic knowledge of electricity/electronics, materials physics, chemistry, thermodynamics and optics",
Sensibilisation aux problèmes de l'environnement,1ère année école d'ingénieur,
Production d'électricité par les énergies renouvelables,1ère année d'école d'ingénieurs,
Optical Ethernet for Cloud Computing,"Basic knowledge in networking (TCP/IP, ATM)",
"Ultrasound in Nature, Engineering and Medicine","No prerequisits required. A personal laptop is advantageous, because it allows the use of eclectronic document copies of the provided course material. Hard copy hand-outs of the visual presentations will be provided for all participants.",
Operations research in the industry,"Some knowledge of mathematical modelisation, duality concepts in optimization, an interest in computer science and programming, the ability to use spreadsheets.",
Polymer Processing,"This course needs prerequisites in continuum mechanics, heat transfer, thermodynamics and crystallographySpecific conditions:This Course takes place inSophia Antipolis,950km from Paris.Google Maps linkTransport (from Paris to Nice) and accommodation amounts toaround 320 euros.Athens students coming from partner universities abroad shouldgo directly to Sophia Antipolis(they cannot participate in the Paris activities ; they will not be accommodated in Paris, only in Sophia Antipolis). They are expected to arrive on Sunday 13th November (afternoon).",
Calcul des structures,"Notions fondamentales de lamécanique des milieux continus(déplacements, déformations, contraintes, équations d’équilibre) et deslois de comportement(au moins l'élasticité linéaire). Notions decalcul matriciel et tensoriel.",
